Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Montevago;19084025;2010;Comune;3.039;0;0;0;371,44;1,24;12,47;13,91;18,17;0,01;2,76;82,32;
Montevago;19084025;2011;Comune;3.015;0;0;0;369,4531;1,2334;12,403300000000002;13,8356;18,0728;0,0099;2,7452;81,8797;
Montevago;19084025;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Montevago;19084025;2013;Comune;2.977;2,7;0;0;348,02;0;11,73;0;0;0;5,58;0;
Naro;19084026;2010;Comune;8.245;1,58;2,18;47,39;0;0;0;0;0;0;0;0;
Naro;19084026;2011;Comune;8.103;0,9;0;47,17;0;0;0,424;0;4,44;0;0;0;
Naro;19084026;2012;Comune;8.089;0;3,1;67,82;0;0;0;4;6,1;0;0;13;
Naro;19084026;2013;Comune;7.985;2,76;8,82;65,82;0;0;0;0;3,5;0;0;0;
Palma di Montechiaro;19084027;2010;Comune;24.109;6,4;10,9;147,58;13,82;0;0;0;1,32;0;0;0;
Palma di Montechiaro;19084027;2011;Comune;23.643;0;0;132,94;0;0;0,848;0;8,88;0;0;0;
Palma di Montechiaro;19084027;2012;Comune;23.640;0;0;205,47;1,68;0;0,7;0;15,6;0,1;0;54,36;
Palma di Montechiaro;19084027;2013;Comune;23.807;0,62;9,58;179,82;18,259999999999998;0;1,14;21,14;5,5;0,1;0;54,36;
Porto Empedocle;19084028;2010;Comune;17.261;13,76;178,6;66,78;0;0;7,98;10,69;32,42;0;0;62,24;
Porto Empedocle;19084028;2011;Comune;16.841;9,4348;122,4601;45,7888;0;0;5,4716;7,3298000000000005;22,2294;0;0;42,6759;
Porto Empedocle;19084028;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Porto Empedocle;19084028;2013;Comune;17.172;2,8600000000000003;130,56;18,1;8,16;0;0;0;0;0,04;0;0;
Racalmuto;19084029;2010;Comune;8.962;2,04;64,66;47,181;0;0;30,01;39,54;18,44;0,368;0;234,04;
Racalmuto;19084029;2011;Comune;8.345;2,119;67,1648;49,0087;0;0;31,1725;41,0717;19,154400000000003;0,3822;0;243,1063;
Racalmuto;19084029;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Racalmuto;19084029;2013;Comune;8.448;0,6;19;33,428;0;0;0;5,18;0;0,05;0;243;
Raffadali;19084030;2010;Comune;12.924;0,1;39,23;222,851;0;5,63;10,83;58,72;32,04;0,283;0;83,19999999999999;
Raffadali;19084030;2011;Comune;12.837;11,321;0;294,416;0;4,38;3,702;53,93;21,61;0,191;0;49,07;
Raffadali;19084030;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Raffadali;19084030;2013;Comune;12.888;0;10,2;270,543;0;0;0;10,06;0;0,025;0;5,94;
Ravanusa;19084031;2010;Comune;12.751;0;0;84,45;0;0;0;0;89,92;0;0;0;
Ravanusa;19084031;2011;Comune;12.128;0;0;82,88;0;0;0,424;0;26,29;0;0;84,64;
Ravanusa;19084031;2012;Comune;12.124;6,48;8,36;120,22;3,04;0;3,4;19,779999999999998;23,72;1,3;0;54,64;
Ravanusa;19084031;2013;Comune;11.969;3,12;16,74;175,54000000000002;65,82;0;0,65;40,09;11,030000000000001;0;0;96,76;
Realmonte;19084032;2010;Comune;4.583;0,4;35,21;5,3;0;0;37,4;49,28;11,38;0,128;0;291,69;
Realmonte;19084032;2011;Comune;4.487;0,2799;24,6394;3,7089;0;0;26,1719;34,4853;7,9635;0,0896;0;204,1199;
Realmonte;19084032;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Realmonte;19084032;2013;Comune;4.522;0;13,78;0;0;0;0;0;0;0;0;204,1199117;
Ribera;19084033;2010;Comune;19.589;19,26;0;504,20000000000005;2098,56;127,92;81,77000000000001;68,03;0;2,51;35,76;222,87;
Ribera;19084033;2011;Comune;19.302;20,3969;0;533,9621999999999;2222,4348;135,4709;86,5967;72,04570000000001;0;2,6582;37,8709;236,0257;
Ribera;19084033;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Ribera;19084033;2013;Comune;19.344;13,82;0;293,49;2004,56;136,69;43,53;32,77;0;2,885;58,11;236,03;
Sambuca di Sicilia;19084034;2010;Comune;6.207;2,24;0;23,92;458,74;27,74;39,91;36,48;25,66;0,23;6,84;174,02;
Sambuca di Sicilia;19084034;2011;Comune;6.114;2,4259;0;25,9053;496,8149;30,0424;43,2225;39,5078;27,7898;0,24910000000000002;7,4077;188,4635;
Sambuca di Sicilia;19084034;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Sambuca di Sicilia;19084034;2013;Comune;5.983;0;0;11,25;492,23;17,74;0;7,87;0;0,4;1,44;0;
San Biagio Platani;19084035;2010;Comune;3.547;0,3;0;42,87;280,79;3,1;30,85;22,62;8,84;0,05;3,02;94,6;
San Biagio Platani;19084035;2011;Comune;3.501;0,3957;0;56,546499999999995;370,3686;4,089;40,691900000000004;29,8363;11,6602;0,066;3,9835;124,7796;
San Biagio Platani;19084035;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
San Biagio Platani;19084035;2013;Comune;3.411;1;0;27,39;523,31;15,53;0;0;0;0;1,42;0;
San Giovanni Gemini;19084036;2010;Comune;8.159;0,82;50,94;149,515;0;1,64;7,31;27,47;27,1;0,184;0;25,91;
San Giovanni Gemini;19084036;2011;Comune;8.127;0,7075;43,949;128,9956;0;1,4149;6,3067;23,7001;23,3808;0,1587;0;22,3542;
San Giovanni Gemini;19084036;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
San Giovanni Gemini;19084036;2013;Comune;8.131;0,92;3,9;137,1766911;0;1,414926577;6,306776388;23,700020159;4,089482911;0,15874786000000002;1,2;22,354114395;
Santa Elisabetta;19084037;2010;Comune;2.769;1,02;10,68;21,238;0;0;6,772;16,639;3,66;0,087;0;57,082;
Santa Elisabetta;19084037;2011;Comune;2.608;9,167;0;26,436;0;0;0,999;9,827;3;0,068;0;10,173;
Santa Elisabetta;19084037;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Santa Elisabetta;19084037;2013;Comune;2.492;0;4,02;10,496;0;0;0,999;9,827;3;0,006;0;10,173;
Santa Margherita di Belice;19084038;2010;Comune;6.647;0;0;0;832,9;1,8;31,53;41,55;19,669999999999998;0,03;4,14;245,96;
Santa Margherita di Belice;19084038;2011;Comune;6.544;0;0;0;744,6797;1,6093;28,1904;37,149;17,5866;0,0268;3,7015;219,9081;
Santa Margherita di Belice;19084038;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Santa Margherita di Belice;19084038;2013;Comune;6.455;0;0;5,43;784,07;0;0;0;0;0,156;5,13;150;
Sant\'Angelo Muxaro;19084039;2010;Comune;1.512;0,32;10,86;11,422;0;0;5,844;8,742;2,86;0,10800000000000001;0;46,775;
Sant\'Angelo Muxaro;19084039;2011;Comune;1.471;0;0;16,872999999999998;1,06;0;0,212;2,136;3;0,052;0;6,567;
Sant\'Angelo Muxaro;19084039;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
