Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Genzano di Lucania;17076036;2012;COMUNITA' MONTANA ALTO BRADANO;57.756;6,17;24,03;791,947;2662,54;56,08;24,059;101,987;77,14;7,203;40,67;333,78;
Genzano di Lucania;17076036;2013;COMUNITA' MONTANA ALTO BRADANO;56.988;4,24;29,09;786,7640532800001;2709,335;105,64661708;87,19097366;149,8397644;73,43700000000001;6,003;94,16167743;671,96406815;
Grumento Nova;17076037;2010;Comune;1.727;0;0;11,78;0;0;6,12;9,16;10,96;0,371;0;15,48;
Grumento Nova;17076037;2011;Comune;1.704;1,6;0;38,82;0;3,89;7,39;15,85;9,59;0,01;0,97;86,43;
Grumento Nova;17076037;2012;Comune;1.708;2,22;0;44,98;0;1,42;4,68;20,340000000000003;4,506;0,045;4,46;56,82;
Grumento Nova;17076037;2013;Comune;1.735;0,32;0;53,699999999999996;0;1,92;4,24;29,64;6,279999999999999;0,1;3,6599999999999997;43,62;
Guardia Perticara;17076038;2010;Comune;629;0;0;12,56;0;3,1;1,75;5,69;0;0;2,51;13,24;
Guardia Perticara;17076038;2011;Comune;580;1,44;0;8,1;0;0,7;1,1;4,37;0;0;2,24;12,51;
Guardia Perticara;17076038;2012;Comune;580;0;0;12,92;0;0;0;2,71;0;0;0;10,89;
Guardia Perticara;17076038;2013;Comune;567;1,5;0;9,46;0;0;0;7,43;0;0;0;9,05;
Lagonegro;17076039;2010;Comune;5.802;2,07;0;170,1;0;14,82;39,26;33,25;92,68;0,175;3,74;54,1;
Lagonegro;17076039;2011;Comune;5.725;7,6;0;154,14;0;32,24;57,29;143,7;59,88;0,03;23,889999999999997;88,04;
Lagonegro;17076039;2012;Comune;5.722;23,52;0;126,94;0;22;29,8;37,44;25,04;0,083;28,02;38,72;
Lagonegro;17076039;2013;Comune;5.663;1,98;0;209,29214219;209,15;29,7602171;31,38560653;42,597818579999995;18,880000000000003;0,39;28,149779699999996;73,819755048;
Latronico;17076040;2010;Comune;4.811;4,1;0;46,459999999999994;0;5,77;7,98;3,1;29,664;0,795;0,7;48,67;
Latronico;17076040;2011;Comune;4.748;2,47;0;94,1;0;6,87;8,47;25,22;28,619999999999997;0,01;6,36;90,27;
Latronico;17076040;2012;Comune;4.750;5,9;0;108,28;0;4,96;9,06;44;17,02;0;13,899999999999999;95,66;
Latronico;17076040;2013;Comune;4.672;2,56;0;134,74;0;9,48;13,649999999999999;61,98;17,58;0,194;10,78;115,83;
Laurenzana;17076041;2010;Comune;1.975;0;0;22,24;0;0;0;14,64;0;0;0;27,62;
Laurenzana;17076041;2011;Comune;1.944;0;0;25,1;0;0;0;17,76;2,72;0;0;35,74;
Laurenzana;17076041;2012;Comune;1.942;0;0;22,06;0;0;0;16,82;3,6;0;0;44,18;
Laurenzana;17076041;2013;Comune;1.883;0;0;23,36;0;0;0,8;17,26;4,48;0;0;53,04;
Lauria;17076042;2010;Comune;13.392;10,41;0;414,88;0;1,24;15,01;67,4;14,4854;0;5;78,06;
Lauria;17076042;2011;Comune;13.262;14,62;0;407,2763;3,19;17,3498;50,265;74,7532;40,89;0,11200000000000002;17,4974;140,8421;
Lauria;17076042;2012;Comune;13.254;12,65;78,97;477,8537;70,02;7,7152;27,0862;120,6134;37,66;0,2;12,9965;236,8697;
Lauria;17076042;2013;Comune;13.109;1,52;91,14;457,04386445099993;340,91;8,076983842;15,250968999;124,06866227900001;38,29;1,203;11,023282745;286,885355187;
Lavello;17076043;2010;Comune;13.945;0;0;265,55;0;0;0;90,77;0;0;0;125,65;
Lavello;17076043;2011;Comune;13.590;28,22;0;343,43;6,88;95,52;0,45;132,22;38,536;2,2159999999999997;43,32;146,32;
Lavello;17076043;2012;Comune;13.604;23,48;0;684,8758;1038,64;130,4039;30,8196;469,5855;55,394000000000005;5,324;77,2476;161,992;
Lavello;17076043;2013;Comune;13.790;6,62;0;278,68495328;1055,14;103,98428481;21,31809232;182,68824925;36,998999999999995;3,03;45,53117724;0,453683485;
Maratea;17076044;2010;Comune;5.210;0;0;33,3;0;0;134,3;17;6,82;0;0;11,9;
Maratea;17076044;2011;Comune;5.150;5,51;0;113,33000000000001;0;4,36;42,46;6,08;16,14;0,05;16,89;117,52000000000001;
Maratea;17076044;2012;Comune;5.152;7,44;0;163,06;0;18,35;33,85;99,35000000000001;14,65;0,297;17,06;253,89000000000001;
Maratea;17076044;2013;Comune;5.205;7,42;0;195,7908106;0;32,35192582;68,16590258;95,00298425;30,859999999999996;0,154;41,84751944;273,121080729;
Marsico Nuovo;17076045;2010;Comune;4.585;7,3;0;22,98;0;0;30,53;16,9;37,07;0,01;10,34;178,95000000000002;
Marsico Nuovo;17076045;2011;Comune;4.358;19,5;0;93,46;0;1,48;18,42;51,6;27,72;0;20,92;111,74;
Marsico Nuovo;17076045;2012;Comune;4.329;11,36;0;93,05;0;0,01;18,59;37,57;27,31;0,34;23,08;90,78;
Marsico Nuovo;17076045;2013;Comune;4.260;12,18;0;88;0;0,82;16,18;36,16;34,4;0,01;24,86;90,88;
Marsicovetere;17076046;2010;Comune;5.411;0;0;388,79999999999995;0;0,16;11,6;10,96;22,12;0;0;20,4;
Marsicovetere;17076046;2011;Comune;5.341;1,74;0;258,86560000000003;0;20,6018;16,7989;135,57;18,07;0;16,0426;169,39;
Marsicovetere;17076046;2012;Comune;5.343;4,64;0;239,87;0;3,34;6,66;129,64000000000001;12,65;0,23;6,180000000000001;152,9;
Marsicovetere;17076046;2013;Comune;5.443;0;0;262,82;0;6,58;12,809999999999999;123,51;10,51;0,7090000000000001;17,04;156,31;
Maschito;17076047;2010;Comune;1.735;0;0;41,66;0;0;3,06;7,14;9,44;0,01;0;19,27;
Maschito;17076047;2011;Comune;1.730;4,55;0;31,04;0;6,28;4,37;14,260000000000002;10,68;0,42;2,98;33,65;
Maschito;17076047;2012;Comune;1.728;3,92;0;16,310000000000002;0;4,1;4,8;19,73;4,92;0,06;4,74;28,66;
Maschito;17076047;2013;Comune;1.734;0;0;20,950000000000003;0;2,66;3,06;18,81;3,9800000000000004;0,23;3,58;16,9;
Melfi;17076048;2010;Comune;17.554;8,64;0;418,78999999999996;0;22,84;17,96;93,84;32,269999999999996;1,08;25,540000000000003;99,59;
Melfi;17076048;2011;Comune;17.425;1,03;0;376,1445;0;12,015500000000001;6,9008;99,891;15,66;0,802;10,0109;82,6001;
Melfi;17076048;2012;Comune;17.425;3,07;0;688,088;279,47999999999996;27,030700000000003;59,0134;243,6806;21,12;1,413;32,7366;101,80680000000001;
Melfi;17076048;2013;Comune;17.717;0,37;0;1290,0107922000002;1479,67;211,4944177;233,9475039;398,1652437;28,51;1,686;166,8976932;4,847048061;
Missanello;17076049;2010;Comune;555;0;0;0;0;0;2,5;0;0;0;0;1;
Missanello;17076049;2011;Comune;548;0;0;0;0;0;2,5;0;0;0;0;1;
Missanello;17076049;2012;Comune;546;0;0;0;0;0;2,5;0;0;0;0;1;
Missanello;17076049;2013;Comune;570;0;0;0;0;0;0;0;0;0;0;0;
Moliterno;17076050;2010;Comune;4.289;0;0;49,84;0;0;10,18;13,42;18,939999999999998;0;0;141,87;
Moliterno;17076050;2011;Comune;4.182;0;0;127,55199999999999;0;7,35;4,508;20,774;0;0;7,056;73,28399999999999;
Moliterno;17076050;2012;Comune;4.177;0;0;109,52449999999999;0;1,0642;5,3208;20,4851;32,78;0;1,1528;58,408;
Moliterno;17076050;2013;Comune;4.106;0;0;105,051712063;0;6,43579111;7,438552944;13,00406439;23,96;0;8,290384797;96,478304438;
Montemilone;17076051;2010;Comune;1.763;0;0;0;0;0,05;0,8;0,97;0,86;0;0,76;12,66;
Montemilone;17076051;2011;Comune;1.725;0;0;9,059999999999999;19,81;0;1,19;9,38;0,42;0,035;0,38;16,88;
Montemilone;17076051;2012;COMUNITA' MONTANA ALTO BRADANO;57.756;6,17;24,03;791,947;2662,54;56,08;24,059;101,987;77,14;7,203;40,67;333,78;
Montemilone;17076051;2013;COMUNITA' MONTANA ALTO BRADANO;56.988;4,24;29,09;786,7640532800001;2709,335;105,64661708;87,19097366;149,8397644;73,43700000000001;6,003;94,16167743;671,96406815;
Montemurro;17076052;2010;Comune;1.347;0;0;8,65;0;0;0;9,18;0;0;0;0;
Montemurro;17076052;2011;Comune;1.312;0;0;16,9453;0;3,381;6,3719;5,9528;1,18;0;3,4294000000000002;2,8486;
Montemurro;17076052;2012;Comune;1.315;0;0;39,5278;0;4,6579;13,139600000000002;20,9425;4,44;0;3,9386;4,261;
Montemurro;17076052;2013;Comune;1.283;3,51;12,79;37,690191494;0;6,157330701;8,474381489999999;12,15317732;0;0;7,115865375;0,141616001;
Muro Lucano;17076053;2010;Comune;5.711;0;0;98,34;0;0;3,772;34,502;34,71;0,225;0;153,17499999999998;
Muro Lucano;17076053;2011;Comune;5.568;0,03;0;104,4385;0;3,173;3,0578000000000003;33,9485;65,443;2,2279999999999998;2,2229;150,7601;
Muro Lucano;17076053;2012;Comune;5.564;0,52;0;132,186;0;3,94;7,35;105,93900000000001;14,57;0,30500000000000005;6,5;201,909;
Muro Lucano;17076053;2013;Comune;5.502;0,88;0;155,435;323,8;5;11,370999999999999;125,955;11,32;0,505;14,26;200,889;
Nemoli;17076054;2010;Comune;1.519;0;0;12,86;0;0;30,7;5,08;0,58;0;0;11,1;
Nemoli;17076054;2011;Comune;1.512;0;0;19,540300000000002;0;1,487;44,2714;9,4631;0;0;1,4994999999999998;19,1145;
Nemoli;17076054;2012;Comune;1.509;0,35;2,29;44,2385;0;0,1522;22,3708;9,0191;0;0;0,6448;31,576;
Nemoli;17076054;2013;Comune;1.504;0;16,09;76,51352322299999;0;3,840775874;4,439207892;15,16061496;0;0;3,025923506;18,474473524;
Noepoli;17076055;2010;Comune;988;0;0;0;0;0;0;0;0,58;0;0;0;
Noepoli;17076055;2011;Comune;974;0;0;0;0;0;0;0;1,8;0;0;17,14;
Noepoli;17076055;2012;Comune;971;0;0;0;0;0;0;0;0;0;0;8,72;
Noepoli;17076055;2013;Comune;926;0;0;0;0;0;0;0;0;0;0;0;
Oppido Lucano;17076056;2010;Comune;3.891;0;0;48,519999999999996;0;0;5,51;22,31;2,92;0;0;39,519999999999996;
Oppido Lucano;17076056;2011;Comune;3.860;2,66;0;85,8031;66,47;6,5195;7,9956000000000005;20,6432;9,280000000000001;0,345;4,3739;64,4651;
Oppido Lucano;17076056;2012;COMUNITA' MONTANA ALTO BRADANO;57.756;6,17;24,03;791,947;2662,54;56,08;24,059;101,987;77,14;7,203;40,67;333,78;
Oppido Lucano;17076056;2013;COMUNITA' MONTANA ALTO BRADANO;56.988;4,24;29,09;786,7640532800001;2709,335;105,64661708;87,19097366;149,8397644;73,43700000000001;6,003;94,16167743;671,96406815;
Palazzo San Gervasio;17076057;2010;Comune;5.048;13,68;0;90,74;0;43,87;12,36;9,23;28,66;1,39;21,240000000000002;85,4;
Palazzo San Gervasio;17076057;2011;Comune;5.027;6,25;0;187,8;118,5;48,28;13,080000000000002;23,08;31,290000000000003;0,98;10,94;50,28;
Palazzo San Gervasio;17076057;2012;COMUNITA' MONTANA ALTO BRADANO;57.756;6,17;24,03;791,947;2662,54;56,08;24,059;101,987;77,14;7,203;40,67;333,78;
Palazzo San Gervasio;17076057;2013;COMUNITA' MONTANA ALTO BRADANO;56.988;4,24;29,09;786,7640532800001;2709,335;105,64661708;87,19097366;149,8397644;73,43700000000001;6,003;94,16167743;671,96406815;
Pescopagano;17076058;2010;Comune;2.029;0;0;40,92;0;0;0,04;9,22;0;0;0;19,6;
Pescopagano;17076058;2011;Comune;2.022;0,4;0;36,7;0;0;3,6;7,63;0;0;0;26,13;
Pescopagano;17076058;2012;Comune;2.016;0;16,63;23,560000000000002;0;0;0;7,56;1,6400000000000001;0;0;14,88;
Pescopagano;17076058;2013;Comune;1.969;0;0;23,58;0;0;0;6,62;2,06;1,18;0;19,88;
Picerno;17076059;2010;Comune;6.090;0;0;0;0;0;0;0;2,9400000000000004;0;0;0;
Picerno;17076059;2011;Comune;6.080;20,9;0;35,9747;0;5,831;7,9801;11,9772;6,88;0,24;21,8706;77,3314;
Picerno;17076059;2012;Comune;6.074;3,14;0;13,08;0;0,24;2,98;70,33;12,86;0,08;27,46;62,7;
Picerno;17076059;2013;Comune;6.039;4,46;0;167,74;227,92;4,32;9,9;145,73999999999998;9,57;0,251;17,560000000000002;147,94;
Pietragalla;17076060;2010;Comune;4.332;3,7;0;242,5;11,42;0,1;16,42;49,78;9,799999999999999;0;4,13;23,74;
Pietragalla;17076060;2011;Comune;4.267;4,58;0;224,0384;65,35;0,045;14,497599999999998;45,5578;10,059999999999999;0;6,0232;58,0568;
Pietragalla;17076060;2012;Comune;4.246;0;0;194,61;167,92;4,7;38,705;62,97;17,42;0;11,73;86,62;
Pietragalla;17076060;2013;Comune;4.219;8,26;0;165,95;355,37;0;14,96;87,65;38,16;0,55;11,19;116,16;
Pietrapertosa;17076061;2010;Comune;1.129;0;0;0;0;0;0;0;0;0;0;0;
Pietrapertosa;17076061;2011;Comune;1.108;0;0;0;0;0;0;0;0;0;0;0;
Pietrapertosa;17076061;2012;Comune;1.103;0;0;0;0;0,05;0,1;0;0;0;0,8;0;
Pietrapertosa;17076061;2013;Comune;1.069;0;0;0;0;0;0;0;0;0;0;0;
Pignola;17076062;2010;Comune;6.671;9,4;0;24;0;0,82;1,7;3,6;4,52;0;5,56;66;
Pignola;17076062;2011;Comune;6.699;8,28;0;26,52;0;0;0;0;10,040000000000001;0,17;6,64;77,88;
Pignola;17076062;2012;Comune;6.705;8,45;0;32,3;0;0;0;0,66;6,5;0,12;4,88;88,84;
Pignola;17076062;2013;Comune;6.891;7,29;0;62,160000000000004;138,28;0,76;1,48;26,42;6,22;0,367;5,58;114,5;
Potenza;17076063;2010;Comune;68.297;52,7;0;1844,95;0;73,64;395,63;411,43;268,78999999999996;3,973;70,21;3020,87;
Potenza;17076063;2011;Comune;66.777;104,68;0;3557,8698999999997;0;383,776;247,42289999999997;646,3406;332,794;3,934;356,9902;937,7118;
Potenza;17076063;2012;Comune;66.698;58,7;0;3249,9665;0;135,9682;295,2508;930,7446000000001;317,486;4,656000000000001;127,8013;788,7595;
Potenza;17076063;2013;Comune;67.403;81,34;0;3138,6338979;0;360,67646770000005;337,1746847;552,6423553;296,7459999999999;6,813;275,6267645;602,45547159;
Rapolla;17076064;2010;Comune;4.506;2,54;0;38,93;0;1,93;4,57;7,9;9,361;0;9,03;15,24;
Rapolla;17076064;2011;Comune;4.430;0,755;0;145,49;0;36,4;16,39;47,080000000000005;8,879999999999999;0,20700000000000002;51,97;63,41;
Rapolla;17076064;2012;Comune;4.441;0,24;0;238,94;0;4,859999999999999;33,56;145,33;11,207999999999998;0,525;14,98;73,19;
Rapolla;17076064;2013;Comune;4.484;0,56;0;215,42999999999998;0;43,43;38,25;65,84;6,887;0,153;40,86;66,98;
Rapone;17076065;2010;Comune;1.029;0;0;40,78;0;0;0;2,77;0;0;0;6,57;
Rapone;17076065;2011;Comune;1.013;2,56;0;16,6;0;1,8;0,96;4,2299999999999995;3,39;0,12;3,93;14,34;
Rapone;17076065;2012;Comune;1.013;3,45;0;27,3;0;3,95;4,18;16,72;2,678;0;2,87;20,59;
Rapone;17076065;2013;Comune;999;0,57;0;15,12;0;0,17;2,9299999999999997;4,6;1,6670000000000003;0;2,35;21,49;
Rionero in Vulture;17076066;2010;Comune;13.533;4,6825;0;269,34;17,08;16,474;198,423;178,248;41,42;1,341;34,7595;1148,4315;
Rionero in Vulture;17076066;2011;Comune;13.444;0,61;0;1083,51;0;177,315;97,426;239,86;30,159;1,573;301,909;181;
Rionero in Vulture;17076066;2012;Comune;13.431;1,13;0;997,0899999999999;0;7,87;111,9;474,84;35,865;1,983;47,22;173,29;
Rionero in Vulture;17076066;2013;Comune;13.349;0,18;0;908,96;0;144,34;124,5;223,99;35,991;6,2459999999999996;137,39000000000001;170,01;
Ripacandida;17076067;2010;Comune;1.639;1,22;0;12,879999999999999;0;4,5;0;6,34;16,6;0;2,62;14,96;
Ripacandida;17076067;2011;Comune;1.733;1,38;0;14,12;0;0,5;2,98;5,28;9,06;0;0,86;12,94;
Ripacandida;17076067;2012;Comune;1.737;1,2;0;13,68;0;1,28;6,92;5,93;5,5600000000000005;0;1,84;22,42;
Ripacandida;17076067;2013;Comune;1.745;0,8;0;13,5;0;3,5;3,6;5,44;4,88;0;1,84;24,76;
Rivello;17076068;2010;Comune;2.865;0,42;0;50,160000000000004;0;6,66;0;42,98;52,18;0;2,68;33,36;
Rivello;17076068;2011;Comune;2.843;0,44;0;47,46;0;0,94;6,800000000000001;25,38;30,92;0;2,64;35,78;
Rivello;17076068;2012;Comune;2.833;2,61;0;43,345200000000006;0;3,4284000000000003;15,742;17,4267;9,32;0,32;3,6841;36,437900000000006;
Rivello;17076068;2013;Comune;2.793;1,22;0;35,966435892;0;8,201198811;9,343709673000001;16,720656386;7,279999999999999;0;5,696081165;28,369868492;
Roccanova;17076069;2010;Comune;1.640;0;0;19,549999999999997;0;0;5,95;10,46;0;0,4;0;24,55;
Roccanova;17076069;2011;Comune;1.644;0;0;15,299999999999999;0;0;12,07;6,9;0;0;0;15,21;
Roccanova;17076069;2012;Comune;1.653;0;0;27,4896;0;0,0132;15,636000000000001;9,1141;0;0;0,0143;26,1617;
Roccanova;17076069;2013;Comune;1.607;0;0;26,41;0;0;6,63;12,17;0;0;0;26,74;
Rotonda;17076070;2010;Comune;3.584;0;0;0;0;0;0;0;5,42;0;0;0;
Rotonda;17076070;2011;Comune;3.519;1,27;0;8,66;0;1,55;1,05;3,27;11,45;0;2,41;19,14;
Rotonda;17076070;2012;Comune;3.508;0;0;12,02;0;0,52;0,68;6,42;13,52;0;1,66;17,08;
Rotonda;17076070;2013;Comune;3.490;3,59;0;15,5;0;2,26;0;0;10,84;0,279;1,56;42,1;
Ruoti;17076071;2010;Comune;3.551;1,48;0;28,439999999999998;0;0;3,19;6,01;6,24;0,03;0,32;45,46;
Ruoti;17076071;2011;Comune;3.542;0;0;52,1544;0;3,5325;2,1666;8,2573;8,780000000000001;0,025;3,8412;64,0338;
Ruoti;17076071;2012;Comune;3.543;0;0;50,3037;0;0,6106;3,0528;11,7533;5,2;0,06;5,1864;82,2514;
Ruoti;17076071;2013;Comune;3.590;0;0;74,653645661;0;1,450193153;1,676148023;2,930238849;4,76;0,18;1,142522681;59,875671141000005;
Ruvo del Monte;17076072;2010;Comune;1.113;0;0;45,74;0;0;6,1899999999999995;24,62;2,8;0;2,07;22,72;
Ruvo del Monte;17076072;2011;Comune;1.099;0;0;35,98;0;0;3,86;18,6;2,66;0;0,85;19,84;
Ruvo del Monte;17076072;2012;Comune;1.089;0;0;35,68;0;0;3,51;24,38;3,92;0;1;26,02;
Ruvo del Monte;17076072;2013;Comune;1.099;0;0;36,14;0;0;1,84;27,77;0,7;0;3,39;23,07;
San Chirico Nuovo;17076073;2010;Comune;1.495;0;0;0;0;0;0;1,6;3;0;0;7,96;
San Chirico Nuovo;17076073;2011;Comune;1.475;0;0;15,998899999999999;31,96;1,2315;0,7553;5,4864999999999995;2,88;0,007;1,1822;8,1508;
San Chirico Nuovo;17076073;2012;COMUNITA' MONTANA ALTO BRADANO;57.756;6,17;24,03;791,947;2662,54;56,08;24,059;101,987;77,14;7,203;40,67;333,78;
San Chirico Nuovo;17076073;2013;COMUNITA' MONTANA ALTO BRADANO;56.988;4,24;29,09;786,7640532800001;2709,335;105,64661708;87,19097366;149,8397644;73,43700000000001;6,003;94,16167743;671,96406815;
San Chirico Raparo;17076074;2010;Comune;1.177;3;0;10;0;0,34;0,22;5,74;5,4;0;1,12;13,58;
San Chirico Raparo;17076074;2011;Comune;1.161;5,7;0;12,280000000000001;0;0;0;6,02;0;0;0;10,5;
San Chirico Raparo;17076074;2012;Comune;1.152;0;0;8,52;0;0;0;5,46;6,72;0;0;15,26;
San Chirico Raparo;17076074;2013;Comune;1.131;0;0;3,36;0;0;0;4,32;6,4399999999999995;0;0;15,04;
San Costantino Albanese;17076075;2010;Comune;805;0;0;0;0;0;0;0;0;0;0;0;
San Costantino Albanese;17076075;2011;Comune;778;0;0;0;0;0;0;0;0;0;0;0;
San Costantino Albanese;17076075;2012;Comune;777;0;0;0;0;0;0;0;0;0;0;0;
San Costantino Albanese;17076075;2013;Comune;755;0;0;0;0;0;0;0;0;0;0;0;
San Fele;17076076;2010;Comune;3.273;0;0;43,44;0;0,42;27,84;8,05;32,575;0,015;0;19,11;
San Fele;17076076;2011;Comune;3.168;0,22;0;55,97;0;0,53;5,09;26,66;26,426000000000002;0,015;7,11;55,97;
San Fele;17076076;2012;Comune;3.155;1,16;0;71,2685;0;2,3168;4,1642;36,1667;7,725;0,02;4,6224;66,9818;
San Fele;17076076;2013;Comune;3.091;0,32;0;76,072293843;3,22;5,24754788;6,542210031;41,877602267;5,729999999999999;0,27;8,818651573;67,674944165;
San Martino d\'Agri;17076077;2010;Comune;850;0;0;0;0;0;2,08;0;0;0;0;0;
San Martino d\'Agri;17076077;2011;Comune;825;0;0;0;0;0;40,04;0;0;0;0;4,24;
San Martino d\'Agri;17076077;2012;Comune;821;0;0;1,9;0;0;0;0;0;0;0;6,74;
San Martino d\'Agri;17076077;2013;Comune;824;0;0;0;0;0,17;0;0;0;0,002;0;6,74;
San Severino Lucano;17076078;2010;Comune;1.711;0;0;0;0;0;0;0;0;0;0;43,38;
San Severino Lucano;17076078;2011;Comune;1.667;0;0;0;0;0;2;7,56;0;0;0;28,2;
San Severino Lucano;17076078;2012;Comune;1.658;1;0;0;0;0;0;4,08;0;0;0,83;15,38;
San Severino Lucano;17076078;2013;Comune;1.614;0;0;0;0;0;0;4;1,92;0;0;11;
Sant\'Angelo Le Fratte;17076079;2010;Comune;1.486;0;0;6,5;0;0;1,71;0;7;0;0;48;
Sant\'Angelo Le Fratte;17076079;2011;Comune;1.457;0;0;29,7603;0;3,3848;2,076;7,3562;0;0;3,2494;45,7901;
Sant\'Angelo Le Fratte;17076079;2012;Comune;1.454;0;0;34,355;0;0,555;2,775;10,6838;3;0;5,7112;50,7938;
Sant\'Angelo Le Fratte;17076079;2013;Comune;1.435;0;0;35,877363009999996;0;3,587790637;4,146804977;7,249436729;6,52;0;9,756611179;38,498250717;
Sant\'Arcangelo;17076080;2010;Comune;6.524;9,54;0;140,63;0;14,08;58,41;60,24;20,16;1,6949999999999998;8,76;64,89;
Sant\'Arcangelo;17076080;2011;Comune;6.506;4,12;0;162,3;0;22,16;42,6;71,08;19,44;0,9;5,73;86,98;
Sant\'Arcangelo;17076080;2012;Comune;6.497;3,29;0;199,65;0;10,22;42,38;69,16;15,5;1,3;4,28;58,12;
Sant\'Arcangelo;17076080;2013;Comune;6.526;5,26;0,7;207,052222758;0;11,598851609;35,7883912;82,33085411799999;18,02;0,194;9,783313955999999;99,435714159;
Sarconi;17076081;2010;Comune;1.392;0;0;10,8;0;0;0;0;0;0;0;0;
Sarconi;17076081;2011;Comune;1.362;0;0;18,6659;0;1,071;0,6569;15,3176;0;0;1,0282;1,1138;
Sarconi;17076081;2012;Comune;1.363;1,81;0;24,830000000000002;0;1,32;2,05;16,81;5,86;0,04;2,56;10,87;
Sarconi;17076081;2013;Comune;1.392;0,92;0;31,1;0;0,88;3,98;21,36;3,97;0,215;3,52;21,78;
Sasso di Castalda;17076082;2010;Comune;852;0;0;0;0;0;3,0300000000000002;0;1,16;0;0;19,94;
Sasso di Castalda;17076082;2011;Comune;831;0;0;19,767899999999997;0;1,317;5,5078000000000005;2,8623;2,08;0;1,2643;28,0297;
Sasso di Castalda;17076082;2012;Comune;828;0;0;20,8426;0;0,2395;4,6676;4,6108;3,2;0;0,2595;30,3781;
Sasso di Castalda;17076082;2013;Comune;838;0;0;26,058410154999997;0;1,628967501;3,314080013;3,048997428;2,7199999999999998;0,22999999999999998;1,648827565;26,377116844;
Satriano di Lucania;17076083;2010;Comune;2.408;4,26;0;0,6;0;0,06;19,6;15,33;5,73;0,1;5,26;133,84;
Satriano di Lucania;17076083;2011;Comune;2.406;1,46;0;55,4109;0;8,9565;11,7333;19,4655;5,86;0,16100000000000003;15,0182;65,0148;
Satriano di Lucania;17076083;2012;Comune;2.406;0;0;56,747;0;1,4837;11,4984;28,5608;6,5;0,505;9,2673;59,8111;
Satriano di Lucania;17076083;2013;Comune;2.391;0,74;0;54,84558023900001;0;8,237352648;13,380816127;16,644273;8,205;1,15;18,029730154;48,282618366;
Savoia di Lucania;17076084;2010;Comune;1.166;2,88;0;0;0;0;5,79;4,87;3,66;0;2;42,36;
Savoia di Lucania;17076084;2011;Comune;1.148;0,42;0;22,3648;0;3,4275;2,1022;7,4491;0;0;3,2904;19,9846;
Savoia di Lucania;17076084;2012;Comune;1.144;0;0;25,514699999999998;0;0,7022;3,5112;13,5181;0;0;0,7608;17,0504;
Savoia di Lucania;17076084;2013;Comune;1.143;0;0;29,559950451;0;4,515403173;5,218948998;9,123756909;0;0;3,557423044;13,531067676;
Senise;17076085;2010;Comune;7.304;0;0;151,56;364,47;0;0;34,2;7,39;0;0;51,38;
Senise;17076085;2011;Comune;7.127;0;0;205,85999999999999;568,48;6,06;9;58,48;39,16;0;8,14;109,32;
Senise;17076085;2012;Comune;7.094;0;0;252,68;551,43;16,56;3,5;59,78;38,24;0;11,85;102,02;
Senise;17076085;2013;Comune;7.102;0;20,42;308,25;598,39;0,58;0;71,68;32,06;0;0,3;140,12;
Spinoso;17076086;2010;Comune;1.602;0;0;31,61;0;1,82;2,42;11,43;8,879999999999999;0;0,4;15,66;
Spinoso;17076086;2011;Comune;1.555;0;0;30,63;0;1,23;1,75;16,27;9,61;0,005;0;26,51;
Spinoso;17076086;2012;Comune;1.560;0;0;29,58;0;0,96;0,86;16,06;0;0;0,52;30,7;
Spinoso;17076086;2013;Comune;1.515;0;0;28,44;0;0;0;25,58;0;0,042;0;40,12;
Teana;17076087;2010;Comune;669;0;0;0;0;0;0;0;11,02;0;0;0;
Teana;17076087;2011;Comune;645;0;0;0;0;0;0;0;6,86;0;0;0;
Teana;17076087;2012;Comune;643;0;0;0;0;0;0;0;6,86;0;0;0;
Teana;17076087;2013;Comune;641;0;0;0;0;0;0;0;2,26;0;0;0;
Terranova di Pollino;17076088;2010;Comune;1.362;0;0;7,12;0;0;2,04;1,86;6,2;0,035;2,04;5,88;
Terranova di Pollino;17076088;2011;Comune;1.324;0;0;0,25;0;0;0;0,1;0;0;0;0,15;
Terranova di Pollino;17076088;2012;Comune;1.322;0;0,6;5,4064000000000005;0;0,1488;0,744;2,8644;0,65;0;0,1612;0,5828;
Terranova di Pollino;17076088;2013;Comune;1.270;0;1,4;1,965644696;0;0,300260256;0,347043864;0,606701436;0,6;0;0,23655756;0,007385655;
Tito;17076089;2010;Comune;7.197;2,56;0;208,38;0;6,3;0;149,75;74,11;0;1,66;77,62;
Tito;17076089;2011;Comune;7.172;0,54;0;234,0143;0;5,292;11,487400000000001;93,8061;54,730000000000004;0,345;2,3514999999999997;95,0725;
Tito;17076089;2012;Comune;7.188;1,44;0;234,244;86,92;3,38;11,89;85,637;6,72;0,32;7,257999999999999;145,67000000000002;
Tito;17076089;2013;Comune;7.323;0,82;0;104,56;446,78;4,72;1,18;0;11,82;0,8300000000000001;6,24;109,2;
Tolve;17076090;2010;Comune;3.396;0;0;38,34;0;0;36,59;51,07;2,09;0,04;0;98,91;
Tolve;17076090;2011;Comune;3.361;4,62;0;58,269800000000004;41,21;7,4818;19,2661;9,3057;5,34;0,035;15,9905;58,793;
